MSE,rate,Algorithm,SNR,nAntennas,nCoherence
0.02911125986104941,10.810729179742095,CircMMSE,15,64,1
0.12271236753114,10.662261338674554,FastMMSE,15,64,1
0.019393001153474827,10.824610683279404,CircSoftmax,15,64,1
0.02337018574175757,10.817815072582365,CircML,15,64,1
0.02243515759239448,10.81923681436045,GenieOMP,15,64,1
0.011502164818600011,10.837849541343225,GenieMMSE,15,64,1
0.02214304908367684,10.822896968910424,ToepReLU,15,64,1
0.022942347928130203,10.820164941500265,ToepMMSE,15,64,1
0.0235637294139711,10.820789469491965,CircReLU,15,64,1
0.017218419998931464,10.827993647805329,ToepSoftmax,15,64,1
0.029499023443171308,10.832021823240758,CircMMSE,15,64,1
0.12365674909871212,10.68428684566462,FastMMSE,15,64,1
0.01951183007647804,10.846151065242656,CircSoftmax,15,64,1
0.023377366397893652,10.839541192957887,CircML,15,64,1
0.022485801944742218,10.840796293072405,GenieOMP,15,64,1
0.011531019132155531,10.859233572001838,GenieMMSE,15,64,1
0.02200624253185572,10.844870144589597,ToepReLU,15,64,1
0.023219470515951912,10.841523185267043,ToepMMSE,15,64,1
0.024970643329471427,10.841290894078533,CircReLU,15,64,1
0.017218316240819438,10.849644133677481,ToepSoftmax,15,64,1
